"ISO3","Name","Value","sign"
"AFG","Afghanistan","-0.0230639015780885","0"
"ALB","Albania","-0.0299219346837065","0"
"DZA","Algeria","0.234113212142134","1"
"AND","Andorra","",""
"AGO","Angola","0.218755285720721","1"
"ATG","Antigua and Barbuda","0.0632578419082484","0"
"ARG","Argentina","0.0396903187093228","0"
"ARM","Armenia","0.221328356266033","1"
"AUS","Australia","-0.184383597560756","-1"
"AUT","Austria","-0.0988892618037449","0"
"AZE","Azerbaijan","0.130062154532941","0"
"BHS","Bahamas","-0.114392606949606","-1"
"BHR","Bahrain","0.475617695554496","1"
"BGD","Bangladesh","0.203060789611205","1"
"BRB","Barbados","0.178716473103413","1"
"BLR","Belarus","0.00311659877907574","0"
"BEL","Belgium","-0.0347621936633134","0"
"BLZ","Belize","0.0466712230644348","0"
"BEN","Benin","0.386839547721316","1"
"BTN","Bhutan","0.20716486891359","1"
"BOL","Bolivia, Plurinational State of","0.0871052286060968","0"
"BIH","Bosnia and Herzegovina","-0.138118162049425","0"
"BWA","Botswana","0.0922548201123684","0"
"BRA","Brazil","0.0156930114410285","0"
"BRN","Brunei Darussalam","0.378771894177199","1"
"BGR","Bulgaria","0.0493118793973333","0"
"BFA","Burkina Faso","-0.036695984388575","0"
"BDI","Burundi","0.0302981951373213","0"
"KHM","Cambodia","0.0868947645337874","0"
"CMR","Cameroon","0.0259454052843848","0"
"CAN","Canada","-0.208896301058151","-1"
"CPV","Cape Verde","0.0912820629808075","0"
"CAF","Central African Republic","-0.0553673376175008","0"
"TCD","Chad","0.155054575147367","1"
"CHL","Chile","-0.149026826060318","0"
"CHN","China","1.25051604300512","1"
"COL","Colombia","-0.0416565028160518","0"
"COM","Comoros","-0.0896813719803824","0"
"COG","Congo","-0.342874983911405","-1"
"COD","Congo, the Democratic Republic o","0.0999669343773849","0"
"CRI","Costa Rica","0.064887722902754","0"
"CIV","Cote d'Ivoire","0.299284223302752","1"
"HRV","Croatia","-0.0384597325996889","0"
"CUB","Cuba","0.208456893788606","1"
"CYP","Cyprus","0.0416841571359669","0"
"CZE","Czech Republic","-0.021987877512545","0"
"DNK","Denmark","-0.059645946478322","0"
"DJI","Djibouti","0.367272514018663","0"
"DMA","Dominica","-0.322676617055101","-1"
"DOM","Dominican Republic","0.0982870197336647","0"
"ECU","Ecuador","0.129962321793903","1"
"EGY","Egypt","0.253920954867737","1"
"SLV","El Salvador","0.123089910486665","1"
"GNQ","Equatorial Guinea","0.0801227053160362","0"
"ERI","Eritrea","0.0320636854214878","0"
"EST","Estonia","-0.00027732903781192","0"
"ETH","Ethiopia","-0.0347124990853875","0"
"FJI","Fiji","0.190655211071331","0"
"FIN","Finland","0.0283101211614028","0"
"FRA","France","0.0232856425948186","0"
"GAB","Gabon","-0.161559855641068","-1"
"GMB","Gambia","0.631304442456537","1"
"GEO","Georgia","0.19711265483427","1"
"DEU","Germany","-0.0847177454235357","-1"
"GHA","Ghana","0.10226655845084","1"
"GRC","Greece","0.322881636865719","1"
"GRD","Grenada","0.0840642417101331","0"
"GTM","Guatemala","0.0194940874343336","0"
"GIN","Guinea","-0.0357233339274135","0"
"GNB","Guinea-Bissau","0.146395177534724","1"
"GUY","Guyana","0.599250152393585","1"
"HTI","Haiti","-0.0864344184270613","0"
"HND","Honduras","-0.0769665330387297","0"
"HUN","Hungary","-0.054647661920476","0"
"ISL","Iceland","0.0986263713804926","0"
"IND","India","0.781594811654998","1"
"IDN","Indonesia","0.415405895761242","1"
"IRN","Iran, Islamic Republic of","-0.663919670120442","-1"
"IRQ","Iraq","0.0705099409885956","0"
"IRL","Ireland","-0.177993568815135","-1"
"ISR","Israel","0.123282530277181","0"
"ITA","Italy","0.241610032653935","1"
"JAM","Jamaica","0.205992662453197","1"
"JPN","Japan","-0.00150510410674183","0"
"JOR","Jordan","0.0716562029603709","0"
"KAZ","Kazakhstan","0.231545643735977","1"
"KEN","Kenya","0.270192083654127","1"
"KIR","Kiribati","",""
"PRK","Korea, Democratic People's Repub","-0.0214690714286533","0"
"KOR","Korea, Republic of","0.14207932118363","1"
"KWT","Kuwait","0.67393197919128","1"
"KGZ","Kyrgyzstan","0.114077284788502","0"
"LAO","Lao People's Democratic Republic","0.339540003413977","1"
"LVA","Latvia","0.086397661284613","0"
"LBN","Lebanon","-0.345029503211872","-1"
"LSO","Lesotho","-0.100894317831499","0"
"LBR","Liberia","-0.0656516632177177","0"
"LBY","Libyan Arab Jamahiriya","-0.00887221644273285","0"
"LIE","Liechtenstein","",""
"LTU","Lithuania","0.126009067296802","1"
"LUX","Luxembourg","-0.257765310685619","-1"
"MKD","Macedonia","-0.00326766256116902","0"
"MDG","Madagascar","0.102071607617595","1"
"MWI","Malawi","0.226367445456607","1"
"MYS","Malaysia","0.0586908015154537","0"
"MDV","Maldives","0.192097652508562","1"
"MLI","Mali","-0.09850215251479","-1"
"MLT","Malta","0.040947416329878","0"
"MHL","Marshall Islands","0.0774072435495278","0"
"MRT","Mauritania","0.156797893583668","1"
"MUS","Mauritius","0.496934626768623","1"
"MEX","Mexico","-0.112816370858057","-1"
"FSM","Micronesia, Federated States of","0.0657875921758562","0"
"MDA","Moldova, Republic of","0.241029097771464","1"
"MCO","Monaco","",""
"MNG","Mongolia","0.146578414448973","1"
"MNE","Montenegro","0.200688449804561","0"
"MAR","Morocco","0.234919043717391","1"
"MOZ","Mozambique","0.0228446581967293","0"
"MMR","Myanmar","0.0537123558348576","0"
"NAM","Namibia","0.0232371571803068","0"
"NRU","Nauru","0.463954237388847","0"
"NPL","Nepal","0.0514312530136209","0"
"NLD","Netherlands","-0.160605599922199","-1"
"NZL","New Zealand","-1.10508700513062","-1"
"NIC","Nicaragua","-0.31769968469684","-1"
"NER","Niger","0.273306075476135","1"
"NGA","Nigeria","0.358184755650013","1"
"NOR","Norway","-0.346552802191014","-1"
"OMN","Oman","0.0955169674218777","0"
"PAK","Pakistan","0.39759480260966","1"
"PLW","Palau","0.251408280325974","0"
"PAN","Panama","-0.280329245223589","-1"
"PNG","Papua New Guinea","-0.146604396889529","0"
"PRY","Paraguay","-0.0139041648925907","0"
"PER","Peru","-0.0270490578502015","0"
"PHL","Philippines","0.137515865092454","0"
"POL","Poland","-0.222901523177979","-1"
"PRT","Portugal","0.0660169820396623","0"
"QAT","Qatar","0.460671983729931","1"
"ROU","Romania","0.0524153285366956","0"
"RUS","Russian Federation","0.248276050373431","1"
"RWA","Rwanda","0.385907013078294","1"
"KNA","Saint Kitts and Nevis","-0.0716294948337958","0"
"LCA","Saint Lucia","-0.382284153905264","-1"
"VCT","Saint Vincent and the Grenadines","",""
"WSM","Samoa","0.0225835805049237","0"
"SMR","San Marino","",""
"STP","Sao Tome and Principe","0.118049834763302","1"
"SAU","Saudi Arabia","0.54896519115776","1"
"SEN","Senegal","0.274864996752976","1"
"SRB","Serbia","0.190730289388031","0"
"SYC","Seychelles","0.300315037174413","1"
"SLE","Sierra Leone","0.0241583170257853","0"
"SGP","Singapore","0.100623607304752","1"
"SVK","Slovakia","0.0762350792096131","0"
"SVN","Slovenia","-0.145708983378602","-1"
"SLB","Solomon Islands","0.235008746815125","0"
"SOM","Somalia","-0.0126421299632464","0"
"ZAF","South Africa","-0.283002659086118","-1"
"ESP","Spain","0.00265234168762127","0"
"LKA","Sri Lanka","0.209840210720863","1"
"SDN","Sudan","-0.0271316878164649","0"
"SUR","Suriname","0.000874956189795056","0"
"SWZ","Swaziland","-0.0217487598881798","0"
"SWE","Sweden","-0.19256190869623","-1"
"CHE","Switzerland","-0.151650875557998","-1"
"SYR","Syrian Arab Republic","-0.016538935790786","0"
"TJK","Tajikistan","0.0922187219628971","0"
"TZA","Tanzania, United Republic of","0.0382481228260075","0"
"THA","Thailand","0.376627646194042","1"
"TLS","Timor-Leste","-0.127527554703107","-1"
"TGO","Togo","0.627219947823429","1"
"TON","Tonga","0.189261227810811","1"
"TTO","Trinidad and Tobago","-0.150789001279637","-1"
"TUN","Tunisia","0.160774981587503","0"
"TUR","Turkey","0.457432774343034","1"
"TKM","Turkmenistan","0.0233791810252933","0"
"TUV","Tuvalu","",""
"UGA","Uganda","-0.141784110845623","-1"
"UKR","Ukraine","0.223278994072857","1"
"ARE","United Arab Emirates","0.164986430866718","1"
"GBR","United Kingdom","-0.182613928540298","-1"
"USA","United States","-0.21686049787641","-1"
"URY","Uruguay","0.16451392695556","1"
"UZB","Uzbekistan","0.744990717453494","1"
"VUT","Vanuatu","0.220291076406023","0"
"VEN","Venezuela, Bolivarian Republic o","-0.297467834533761","-1"
"VNM","Viet Nam","0.22735705578801","1"
"YEM","Yemen","0.028302929833445","0"
"ZMB","Zambia","-0.093422261012951","0"
"ZWE","Zimbabwe","0.124803313552703","1"
